time;grid_x;grid_z;density
28,130;0;5;1,0000
28,130;4;1;2,0000
28,130;-2;6;1,0000
28,130;0;6;1,0000
28,130;5;-1;1,0000
28,130;-1;7;1,0000
28,130;5;1;1,0000
30,140;-3;-1;3,0000
30,140;-2;-2;3,0000
30,140;-2;-3;1,0000
30,140;-4;-1;2,0000
30,140;-1;-2;1,0000
30,140;-2;-1;4,0000
30,140;-1;-5;1,0000
30,140;-5;-1;1,0000
30,140;-4;0;1,0000
30,140;-1;-3;2,0000
30,140;-5;0;1,0000
30,140;0;-4;1,0000
30,140;-2;0;3,0000
30,140;-3;0;3,0000
30,140;-5;1;1,0000
30,140;-2;1;1,0000
30,140;-4;1;1,0000
30,140;-3;1;2,0000
30,140;-1;1;4,0000
30,140;1;2;1,0000
30,140;-1;-1;2,0000
30,140;-2;2;1,0000
30,140;0;-1;1,0000
30,140;-1;0;2,0000
30,140;0;2;1,0000
30,140;2;0;1,0000
30,140;0;0;1,0000
30,140;0;1;2,0000
30,140;2;1;2,0000
30,140;-1;3;2,0000
30,140;1;1;1,0000
30,140;3;0;1,0000
30,140;0;3;1,0000
30,140;2;-1;1,0000
30,140;-1;5;1,0000
30,140;4;1;1,0000
30,140;1;4;1,0000
30,140;5;0;1,0000
30,140;4;2;1,0000
30,140;1;5;1,0000
30,140;4;0;1,0000
30,140;0;6;1,0000
30,140;5;-1;2,0000
30,140;0;7;1,0000
30,140;6;1;1,0000
30,140;-1;7;1,0000
32,150;-3;-1;4,0000
32,150;-2;-2;2,0000
32,150;-2;-3;1,0000
32,150;-4;-1;3,0000
32,150;-1;-3;2,0000
32,150;-4;0;3,0000
32,150;-1;-4;1,0000
32,150;-3;0;2,0000
32,150;-4;1;1,0000
32,150;-2;-1;4,0000
32,150;0;1;4,0000
32,150;-1;-2;1,0000
32,150;0;-3;1,0000
32,150;-2;1;1,0000
32,150;-5;1;1,0000
32,150;0;-5;1,0000
32,150;-1;0;4,0000
32,150;-3;1;1,0000
32,150;-1;-1;2,0000
32,150;-2;0;1,0000
32,150;-1;1;2,0000
32,150;0;0;1,0000
32,150;-1;3;1,0000
32,150;2;1;1,0000
32,150;1;2;2,0000
32,150;3;0;2,0000
32,150;2;2;1,0000
32,150;1;0;1,0000
32,150;0;3;1,0000
32,150;2;-1;2,0000
32,150;0;4;1,0000
32,150;4;1;1,0000
32,150;-1;5;1,0000
32,150;3;1;1,0000
32,150;-2;5;1,0000
32,150;4;0;1,0000
32,150;0;5;1,0000
32,150;5;1;1,0000
32,150;0;7;1,0000
32,150;6;0;1,0000
32,150;5;0;2,0000
32,150;1;7;2,0000
34,160;-3;-1;5,0000
34,160;-2;-2;3,0000
34,160;-2;-3;2,0000
34,160;0;-4;2,0000
34,160;-5;-1;1,0000
34,160;-3;0;2,0000
34,160;-4;-1;1,0000
34,160;-2;1;1,0000
34,160;-2;0;2,0000
34,160;-1;-1;3,0000
34,160;-2;-1;3,0000
34,160;-5;0;2,0000
34,160;-1;-4;1,0000
34,160;-1;1;2,0000
34,160;-1;0;3,0000
34,160;-4;0;1,0000
34,160;0;1;2,0000
34,160;0;-1;2,0000
34,160;0;0;2,0000
34,160;0;2;3,0000
34,160;1;1;2,0000
34,160;-1;2;1,0000
34,160;1;-1;1,0000
34,160;-2;3;1,0000
34,160;1;0;1,0000
34,160;2;1;1,0000
34,160;0;4;1,0000
34,160;3;0;1,0000
34,160;2;0;1,0000
34,160;1;5;2,0000
34,160;3;1;2,0000
34,160;4;-1;1,0000
34,160;-1;4;1,0000
34,160;5;1;1,0000
34,160;0;5;1,0000
34,160;4;0;1,0000
34,160;1;6;1,0000
34,160;6;2;1,0000
34,160;6;-1;1,0000
34,160;1;7;1,0000
34,160;6;0;1,0000
36,170;-3;-1;3,0000
36,170;-2;-2;4,0000
36,170;-2;-3;2,0000
36,170;-4;-1;3,0000
36,170;-5;-1;2,0000
36,170;-4;0;2,0000
36,170;-4;1;1,0000
36,170;-2;-1;4,0000
36,170;-5;0;1,0000
36,170;-1;-4;1,0000
36,170;-1;-3;1,0000
36,170;-3;1;1,0000
36,170;-1;-2;3,0000
36,170;-2;0;4,0000
36,170;-1;1;3,0000
36,170;0;-4;1,0000
36,170;-1;0;2,0000
36,170;-1;2;3,0000
36,170;0;-3;1,0000
36,170;-3;0;1,0000
36,170;-1;-1;2,0000
36,170;0;1;2,0000
36,170;0;2;1,0000
36,170;0;0;2,0000
36,170;0;3;1,0000
36,170;1;2;1,0000
36,170;1;1;1,0000
36,170;2;0;1,0000
36,170;3;1;1,0000
36,170;1;0;1,0000
36,170;0;5;1,0000
36,170;4;2;1,0000
36,170;3;-1;1,0000
36,170;1;5;1,0000
36,170;3;0;1,0000
36,170;1;4;1,0000
36,170;4;1;1,0000
36,170;5;-1;1,0000
36,170;-1;4;1,0000
36,170;4;0;1,0000
36,170;1;6;1,0000
36,170;5;0;1,0000
36,170;-1;6;2,0000
36,170;6;1;1,0000
36,170;5;2;1,0000
38,180;-3;-1;4,0000
38,180;-2;-2;3,0000
38,180;-2;-3;3,0000
38,180;-4;-1;4,0000
38,180;-5;-1;1,0000
38,180;-3;0;3,0000
38,180;-4;0;1,0000
38,180;-1;-4;1,0000
38,180;-2;-1;4,0000
38,180;-3;2;1,0000
38,180;-4;2;1,0000
38,180;-5;0;1,0000
38,180;-1;-2;1,0000
38,180;-3;1;2,0000
38,180;-1;-1;3,0000
38,180;-4;1;1,0000
38,180;-2;1;1,0000
38,180;-1;1;4,0000
38,180;-2;0;2,0000
38,180;0;1;1,0000
38,180;1;1;2,0000
38,180;-1;0;2,0000
38,180;0;2;2,0000
38,180;2;1;1,0000
38,180;0;-1;1,0000
38,180;0;0;1,0000
38,180;1;2;1,0000
38,180;1;0;2,0000
38,180;4;0;1,0000
38,180;1;5;1,0000
38,180;2;0;1,0000
38,180;-1;3;1,0000
38,180;3;0;1,0000
38,180;3;1;2,0000
38,180;0;3;1,0000
38,180;5;0;2,0000
38,180;-1;5;1,0000
38,180;4;2;1,0000
38,180;-1;6;1,0000
38,180;-2;6;1,0000
38,180;5;1;1,0000
38,180;1;6;1,0000
38,180;5;-1;1,0000
38,180;5;2;1,0000
38,180;0;6;1,0000
40,190;-2;-2;4,0000
40,190;-2;-4;1,0000
40,190;-2;-3;3,0000
40,190;-3;-1;5,0000
40,190;-5;-1;1,0000
40,190;-4;-1;3,0000
40,190;-1;-4;1,0000
40,190;-4;2;1,0000
40,190;-5;1;1,0000
40,190;-1;-3;1,0000
40,190;-1;-2;4,0000
40,190;-2;-1;2,0000
40,190;-4;1;1,0000
40,190;-1;0;4,0000
40,190;-5;0;1,0000
40,190;-1;-1;2,0000
40,190;-4;0;1,0000
40,190;-3;1;1,0000
40,190;0;-2;1,0000
40,190;0;0;3,0000
40,190;-3;0;1,0000
40,190;0;2;1,0000
40,190;-2;0;2,0000
40,190;1;0;2,0000
40,190;2;0;1,0000
40,190;-2;1;1,0000
40,190;0;-1;1,0000
40,190;0;3;2,0000
40,190;0;1;2,0000
40,190;3;0;2,0000
40,190;-1;1;1,0000
40,190;1;2;1,0000
40,190;1;1;1,0000
40,190;-1;2;1,0000
40,190;-2;4;1,0000
40,190;3;1;1,0000
40,190;1;4;1,0000
40,190;2;-1;1,0000
40,190;3;2;1,0000
40,190;4;0;1,0000
40,190;-2;5;1,0000
40,190;4;1;1,0000
40,190;4;-1;1,0000
40,190;-1;6;1,0000
40,190;6;0;1,0000
40,190;0;6;1,0000
40,190;5;1;2,0000
40,190;0;7;1,0000
40,190;5;0;1,0000
40,190;1;7;1,0000
42,190;-2;-3;3,0000
42,190;-2;-2;3,0000
42,190;-2;-4;2,0000
42,190;-3;-1;4,0000
42,190;-5;-1;1,0000
42,190;-4;-1;2,0000
42,190;-2;-1;6,0000
42,190;-1;-4;2,0000
42,190;-1;-3;4,0000
42,190;0;-4;1,0000
42,190;-1;-2;3,0000
42,190;0;-3;1,0000
42,190;0;-2;2,0000
42,190;-1;0;2,0000
42,190;-2;0;2,0000
42,190;-2;1;3,0000
42,190;-4;0;1,0000
42,190;0;0;2,0000
42,190;0;2;1,0000
42,190;0;-1;2,0000
42,190;1;1;2,0000
42,190;-1;1;1,0000
42,190;1;0;2,0000
42,190;-1;2;2,0000
42,190;0;1;2,0000
42,190;0;3;1,0000
42,190;1;2;1,0000
42,190;-2;2;1,0000
42,190;1;-1;1,0000
42,190;3;1;2,0000
42,190;0;4;2,0000
42,190;2;1;1,0000
42,190;3;0;1,0000
42,190;1;4;1,0000
42,190;4;-1;1,0000
42,190;1;5;1,0000
42,190;4;0;1,0000
42,190;4;1;1,0000
42,190;-1;6;1,0000
42,190;5;0;1,0000
42,190;-1;5;2,0000
42,190;5;2;1,0000
42,190;5;1;1,0000
44,200;-2;-2;4,0000
44,200;-2;-4;2,0000
44,200;-3;-1;4,0000
44,200;-1;-4;2,0000
44,200;-5;-1;1,0000
44,200;-4;-1;3,0000
44,200;-1;-2;1,0000
44,200;-2;-3;3,0000
44,200;0;-4;3,0000
44,200;-1;-3;2,0000
44,200;-3;1;1,0000
44,200;-2;-1;3,0000
44,200;-4;1;2,0000
44,200;-4;0;1,0000
44,200;-1;0;4,0000
44,200;-3;0;2,0000
44,200;0;1;3,0000
44,200;-2;0;4,0000
44,200;-5;0;1,0000
44,200;-1;-1;2,0000
44,200;-1;1;2,0000
44,200;1;1;2,0000
44,200;0;2;2,0000
44,200;0;0;2,0000
44,200;1;2;2,0000
44,200;1;0;2,0000
44,200;1;3;1,0000
44,200;0;4;2,0000
44,200;2;0;1,0000
44,200;-1;2;2,0000
44,200;2;1;1,0000
44,200;3;1;1,0000
44,200;4;-1;1,0000
44,200;4;1;1,0000
44,200;-2;5;1,0000
44,200;5;0;1,0000
44,200;6;0;2,0000
44,200;1;5;1,0000
44,200;4;0;1,0000
44,200;-1;6;1,0000
44,200;5;2;1,0000
44,200;-2;7;1,0000
46,210;-2;-2;4,0000
46,210;-2;-4;2,0000
46,210;-3;-1;6,0000
46,210;-5;-1;1,0000
46,210;-4;-1;4,0000
46,210;-1;-3;1,0000
46,210;-2;-3;3,0000
46,210;-5;1;2,0000
46,210;-2;0;4,0000
46,210;-2;-1;4,0000
46,210;-1;0;3,0000
46,210;-5;0;1,0000
46,210;-3;1;2,0000
46,210;-4;0;1,0000
46,210;-1;1;3,0000
46,210;0;-3;1,0000
46,210;-3;0;1,0000
46,210;-1;-1;4,0000
46,210;0;1;3,0000
46,210;0;0;3,0000
46,210;1;1;3,0000
46,210;-1;2;1,0000
46,210;1;-1;1,0000
46,210;-1;3;2,0000
46,210;2;0;1,0000
46,210;4;0;1,0000
46,210;1;3;1,0000
46,210;1;0;1,0000
46,210;4;-1;1,0000
46,210;3;2;1,0000
46,210;-2;5;1,0000
46,210;3;1;1,0000
46,210;1;5;1,0000
46,210;5;1;1,0000
46,210;0;4;1,0000
46,210;5;2;1,0000
46,210;4;1;1,0000
46,210;0;6;1,0000
46,210;5;0;1,0000
46,210;1;6;1,0000
46,210;6;1;2,0000
46,210;0;7;1,0000
48,220;-2;-2;5,0000
48,220;-2;-4;2,0000
48,220;-3;-1;5,0000
48,220;-5;-1;3,0000
48,220;-4;-1;4,0000
48,220;-2;-3;3,0000
48,220;-4;1;1,0000
48,220;-4;0;2,0000
48,220;-1;-2;4,0000
48,220;-5;1;1,0000
48,220;-3;1;2,0000
48,220;-3;0;3,0000
48,220;-2;0;4,0000
48,220;-1;-1;2,0000
48,220;-2;-1;3,0000
48,220;-1;1;4,0000
48,220;0;0;3,0000
48,220;0;-1;2,0000
48,220;-1;0;2,0000
48,220;-2;1;1,0000
48,220;3;0;2,0000
48,220;2;-1;1,0000
48,220;0;1;1,0000
48,220;-1;2;1,0000
48,220;1;1;1,0000
48,220;1;3;1,0000
48,220;2;1;2,0000
48,220;0;2;1,0000
48,220;3;2;1,0000
48,220;0;4;1,0000
48,220;1;4;1,0000
48,220;4;1;1,0000
48,220;3;1;1,0000
48,220;0;5;1,0000
48,220;4;-1;1,0000
48,220;1;6;1,0000
48,220;4;2;1,0000
48,220;-1;5;1,0000
48,220;5;1;1,0000
48,220;5;0;1,0000
48,220;-1;6;1,0000
48,220;5;2;1,0000
48,220;0;6;1,0000
48,220;6;-1;1,0000
50,230;-2;-1;3,0000
50,230;-2;-3;4,0000
50,230;-2;-2;4,0000
50,230;-3;-1;5,0000
50,230;-5;-1;2,0000
50,230;-4;-1;4,0000
50,230;-2;-4;1,0000
50,230;-2;0;4,0000
50,230;-1;-4;2,0000
50,230;-5;1;2,0000
50,230;-5;0;1,0000
50,230;-3;0;3,0000
50,230;-4;0;2,0000
50,230;0;-3;1,0000
50,230;-2;2;1,0000
50,230;-1;-1;2,0000
50,230;-1;-2;1,0000
50,230;0;-4;1,0000
50,230;-1;-3;1,0000
50,230;-4;1;1,0000
50,230;1;0;1,0000
50,230;0;-2;1,0000
50,230;-3;1;1,0000
50,230;-1;0;3,0000
50,230;0;0;2,0000
50,230;-2;1;1,0000
50,230;0;1;3,0000
50,230;-1;1;2,0000
50,230;1;1;2,0000
50,230;1;-1;1,0000
50,230;1;2;2,0000
50,230;0;3;1,0000
50,230;2;-1;1,0000
50,230;1;5;1,0000
50,230;-1;3;1,0000
50,230;2;1;1,0000
50,230;2;0;1,0000
50,230;-1;4;1,0000
50,230;2;2;1,0000
50,230;0;4;1,0000
50,230;3;0;1,0000
50,230;3;1;1,0000
50,230;0;5;1,0000
50,230;4;0;1,0000
50,230;-2;5;1,0000
50,230;4;1;1,0000
50,230;-1;6;1,0000
50,230;5;0;1,0000
50,230;5;1;1,0000
50,230;-2;6;1,0000
50,230;6;0;1,0000
50,230;1;7;1,0000
50,230;6;1;1,0000
52,240;-4;0;4,0000
52,240;-2;-3;3,0000
52,240;-2;-2;4,0000
52,240;-2;-1;3,0000
52,240;-5;-1;1,0000
52,240;-4;-1;3,0000
52,240;-2;-4;1,0000
52,240;-3;-1;5,0000
52,240;-5;0;2,0000
52,240;-3;0;3,0000
52,240;-4;2;1,0000
52,240;-1;-4;1,0000
52,240;-1;-2;2,0000
52,240;-2;0;3,0000
52,240;0;0;4,0000
52,240;-1;-3;1,0000
52,240;-4;1;1,0000
52,240;-3;1;1,0000
52,240;-1;-1;2,0000
52,240;-2;1;2,0000
52,240;-1;1;3,0000
52,240;-1;0;2,0000
52,240;0;1;3,0000
52,240;0;-1;1,0000
52,240;1;4;1,0000
52,240;0;2;3,0000
52,240;1;1;2,0000
52,240;1;0;1,0000
52,240;-1;3;1,0000
52,240;-1;2;1,0000
52,240;2;0;1,0000
52,240;3;1;2,0000
52,240;-1;4;1,0000
52,240;3;0;1,0000
52,240;1;5;1,0000
52,240;4;1;1,0000
52,240;-1;5;1,0000
52,240;4;-1;1,0000
52,240;0;6;1,0000
52,240;4;0;1,0000
52,240;0;5;1,0000
52,240;5;0;2,0000
52,240;1;7;1,0000
52,240;5;2;1,0000
52,240;-2;7;1,0000
52,240;6;0;1,0000
